HOG	OG	Gene Tree Parent Clade	Acinetobacter_baumannii_17978	Acinetobacter_baumannii_19606	Acinetobacter_baumannii_19606_RS	Acinetobacter_baumannii_AB30	Acinetobacter_baumannii_AB30_RS
N0.HOG0000036	OG0000013	n1	A1S_0853	GO593_10460	GO593_RS10460	IX87_01890	IX87_RS01815
N0.HOG0000037	OG0000013	n6	A1S_3280	GO593_05190	GO593_RS05190	IX87_13405	IX87_RS13105
N0.HOG0000038	OG0000013	n10	A1S_0854	GO593_14260	GO593_RS14260	IX87_03625	IX87_RS03530
N0.HOG0000039	OG0000014	n1	A1S_0550, A1S_1289, A1S_1288	GO593_07025	GO593_RS07025	IX87_04175, IX87_05530	IX87_RS04060, IX87_RS05395
N0.HOG0000040	OG0000014	n9	A1S_3364	GO593_10935	GO593_RS10935	IX87_13890	IX87_RS13590
N0.HOG0000041	OG0000015	n1	A1S_2031	GO593_00615	GO593_RS00615	IX87_04945, IX87_00090	IX87_RS04815, IX87_RS00090
N0.HOG0000042	OG0000015	n7	A1S_1151	GO593_12735	GO593_RS12735	IX87_05995, IX87_08340	IX87_RS05845, IX87_RS08130
N0.HOG0000043	OG0000016	n0	A1S_1598, A1S_2017	GO593_11870, GO593_00460	GO593_RS11870, GO593_RS00460	IX87_08165, IX87_05845, IX87_22000, IX87_04810	IX87_RS07965, IX87_RS05695, IX87_RS21595, IX87_RS04685
N0.HOG0000044	OG0000017	n1	A1S_1846	GO593_17285	GO593_RS17285	IX87_20920	IX87_RS20320, IX87_RS20530
N0.HOG0000045	OG0000017	n6	A1S_1894	GO593_17070, GO593_14395	GO593_RS17070, GO593_RS14395	IX87_20705, IX87_03475	IX87_RS03380
N0.HOG0000046	OG0000018	n0	A1S_1847, A1S_1893	GO593_17075, GO593_17280, GO593_14400	GO593_RS17075, GO593_RS17280, GO593_RS14400	IX87_20710, IX87_03470, IX87_20915	IX87_RS20325, IX87_RS03375, IX87_RS20525
N0.HOG0000047	OG0000019	n1	A1S_2886	GO593_03430	GO593_RS03430	IX87_11315	IX87_RS11055
N0.HOG0000048	OG0000019	n5	A1S_3111	GO593_04360, GO593_14420	GO593_RS04360, GO593_RS14420	IX87_12305, IX87_03450	IX87_RS12035, IX87_RS03355
N0.HOG0000049	OG0000020	n0	A1S_3777, A1S_3604	GO593_12620, GO593_11560	GO593_RS12620, GO593_RS11560	IX87_08495, IX87_06130, IX87_00280, IX87_05100	IX87_RS05965, IX87_RS08275, IX87_RS04970, IX87_RS00265
N0.HOG0000050	OG0000021	n0		GO593_00725, GO593_11610	GO593_RS00725, GO593_RS11610	IX87_00225, IX87_06095, IX87_18595, IX87_08465, IX87_08445	IX87_RS05930, IX87_RS00210, IX87_RS18260, IX87_RS08245, IX87_RS08225
N0.HOG0000051	OG0000022	n1	A1S_0863	GO593_10500	GO593_RS10500	IX87_01850	IX87_RS01775
N0.HOG0000052	OG0000022	n5	A1S_0080, A1S_0525, A1S_0522, A1S_0864	GO593_07015	GO593_RS07015	IX87_15020	IX87_RS14705
N0.HOG0000053	OG0000023	n1		GO593_12880	GO593_RS12880		
N0.HOG0000054	OG0000023	n3	A1S_1173			IX87_21955	IX87_RS21555
N0.HOG0000055	OG0000023	n5	A1S_2015, A1S_0637			IX87_01110, IX87_05820, IX87_04790	IX87_RS01070, IX87_RS05670, IX87_RS04665
N0.HOG0000056	OG0000024	n0	A1S_0722	GO593_14390, GO593_14325, GO593_09780	GO593_RS14390, GO593_RS14325, GO593_RS09780	IX87_03480, IX87_03560, IX87_17845	IX87_RS03385, IX87_RS03465, IX87_RS17515
N0.HOG0000057	OG0000025	n0	A1S_2021	GO593_00525, GO593_11815	GO593_RS00525, GO593_RS11815	IX87_04855, IX87_08245, IX87_05905, IX87_22045	IX87_RS04730, IX87_RS08040, IX87_RS05755, IX87_RS21640
N0.HOG0000058	OG0000026	n0	A1S_2022	GO593_11810, GO593_00530	GO593_RS00530, GO593_RS11810	IX87_05910, IX87_22050, IX87_08250, IX87_04860	IX87_RS05760, IX87_RS21645, IX87_RS08045, IX87_RS04735
N0.HOG0000059	OG0000027	n0	A1S_2024	GO593_11765	GO593_RS11765	IX87_04885, IX87_08280, IX87_22080, IX87_05940, IX87_00035	IX87_RS04760, IX87_RS08075, IX87_RS21675, IX87_RS05790, IX87_RS00035
N0.HOG0000060	OG0000028	n0	A1S_2029	GO593_11725, GO593_00605	GO593_RS11725, GO593_RS00605	IX87_08330, IX87_04935, IX87_00080, IX87_05985	IX87_RS04805, IX87_RS08120, IX87_RS00080, IX87_RS05835
N0.HOG0000061	OG0000029	n0	A1S_2039	GO593_12635, GO593_11570	GO593_RS12635, GO593_RS11570	IX87_05090, IX87_08485, IX87_06120, IX87_00270	IX87_RS05955, IX87_RS08265, IX87_RS04960, IX87_RS00255
N0.HOG0000062	OG0000030	n0	A1S_3702	GO593_11860, GO593_00470	GO593_RS11860, GO593_RS00470	IX87_05855, IX87_08175, IX87_22010, IX87_04820	IX87_RS07975, IX87_RS21605, IX87_RS05705, IX87_RS04695
N0.HOG0000063	OG0000031	n0	A1S_3757	GO593_11865, GO593_00465	GO593_RS11865, GO593_RS00465	IX87_22005, IX87_08170, IX87_05850, IX87_04815	IX87_RS07970, IX87_RS21600, IX87_RS05700, IX87_RS04690
N0.HOG0000064	OG0000032	n0	A1S_3758	GO593_00475, GO593_11855	GO593_RS00475, GO593_RS11855	IX87_22015, IX87_05860, IX87_08180, IX87_04825	IX87_RS05710, IX87_RS21610, IX87_RS07980, IX87_RS04700
N0.HOG0000065	OG0000033	n0	A1S_3760	GO593_11820, GO593_00520	GO593_RS11820, GO593_RS00520	IX87_22040, IX87_08240, IX87_05900, IX87_04850	IX87_RS08035, IX87_RS21635, IX87_RS05750, IX87_RS04725
N0.HOG0000066	OG0000034	n0	A1S_3761	GO593_11805, GO593_00535	GO593_RS11805, GO593_RS00535	IX87_08255, IX87_04865, IX87_22055, IX87_05915	IX87_RS08050, IX87_RS04740, IX87_RS21650, IX87_RS05765
N0.HOG0000067	OG0000035	n1	A1S_1126	GO593_12525	GO593_RS12525	IX87_05200	IX87_RS05070
N0.HOG0000068	OG0000035	n5	A1S_1134, A1S_1133, A1S_2403	GO593_12560	GO593_RS12560	IX87_05165	IX87_RS05035
N0.HOG0000069	OG0000036	n0	A1S_1200, A1S_3668, A1S_1459, A1S_1460	GO593_13035, GO593_14900	GO593_RS14900, GO593_RS13035	IX87_04640, IX87_02930	IX87_RS04515, IX87_RS02835
N0.HOG0000070	OG0000037	n0	A1S_2569			IX87_21445, IX87_19000, IX87_02980, IX87_11375, IX87_01320, IX87_05810, IX87_05245, IX87_01510, IX87_10235, IX87_21960	IX87_RS21560
N0.HOG0000071	OG0000038	n0	A1S_3765	GO593_11755	GO593_RS11755	IX87_08290, IX87_04895, IX87_22095, IX87_00045, IX87_05950	IX87_RS08085, IX87_RS04770, IX87_RS00045, IX87_RS05800
N0.HOG0000072	OG0000039	n0		GO593_11575, GO593_12640	GO593_RS11575, GO593_RS12640	IX87_08480, IX87_00265, IX87_06115, IX87_05085	IX87_RS08260, IX87_RS00250, IX87_RS04955, IX87_RS05950
N0.HOG0000073	OG0000040	n1	A1S_0549	GO593_09190	GO593_RS09190	IX87_17260	IX87_RS16930
N0.HOG0000074	OG0000040	n5	A1S_2041	GO593_15105, GO593_17960	GO593_RS17960	IX87_06160	IX87_RS05995
N0.HOG0000075	OG0000041	n1	A1S_2190	GO593_18700	GO593_RS18700	IX87_06935	IX87_RS06760
N0.HOG0000076	OG0000041	n5	A1S_2191, A1S_1080	GO593_12265	GO593_RS12265	IX87_05585	IX87_RS05445
N0.HOG0000077	OG0000042	n1	A1S_1868	GO593_13070	GO593_RS13070		
N0.HOG0000078	OG0000042	n6	A1S_1209			IX87_04605	IX87_RS04480
N0.HOG0000079	OG0000042	n8	A1S_1869			IX87_20805	IX87_RS20415
N0.HOG0000080	OG0000043	n0	A1S_2023	GO593_00555, GO593_11790	GO593_RS00555, GO593_RS11790	IX87_04870, IX87_05920, IX87_08265	IX87_RS04745, IX87_RS05770, IX87_RS08060
N0.HOG0000081	OG0000044	n0	A1S_3763	GO593_11780	GO593_RS11780	IX87_04880, IX87_05930, IX87_22070, IX87_08275	IX87_RS04755, IX87_RS05780, IX87_RS21665, IX87_RS08070
N0.HOG0000082	OG0000045	n0	A1S_3764	GO593_11760	GO593_RS11760	IX87_04890, IX87_08285, IX87_00040, IX87_05945	IX87_RS04765, IX87_RS08080, IX87_RS05795, IX87_RS00040
N0.HOG0000083	OG0000046	n1	A1S_0008	GO593_06185	GO593_RS06185	IX87_14410	IX87_RS14105
N0.HOG0000084	OG0000046	n5	A1S_0009	GO593_06180	GO593_RS06180	IX87_14405	IX87_RS14100
N0.HOG0000085	OG0000047	n1	A1S_1755	GO593_16545	GO593_RS16545	IX87_20175	IX87_RS19805
N0.HOG0000086	OG0000047	n5	A1S_0010	GO593_06175	GO593_RS06175	IX87_14400	IX87_RS14095
N0.HOG0000087	OG0000048	n1	A1S_2055	GO593_18015	GO593_RS18015	IX87_06225	IX87_RS06060
N0.HOG0000088	OG0000048	n5	A1S_0043	GO593_06795	GO593_RS06795	IX87_14800	IX87_RS14485
N0.HOG0000089	OG0000049	n1	A1S_0104	GO593_07125	GO593_RS07125	IX87_15105	IX87_RS14790
N0.HOG0000090	OG0000049	n5	A1S_2148	GO593_18495	GO593_RS18495	IX87_06725	IX87_RS06555
N0.HOG0000091	OG0000050	n1	A1S_0279	GO593_10525			
N0.HOG0000092	OG0000050	n2	A1S_0869	GO593_07915	GO593_RS07915, GO593_RS10525	IX87_15945, IX87_01825	IX87_RS15625, IX87_RS01750
N0.HOG0000093	OG0000051	n1	A1S_1255	GO593_13665	GO593_RS13665	IX87_04270	IX87_RS04150
N0.HOG0000094	OG0000051	n5	A1S_0431	GO593_08665	GO593_RS08665	IX87_16725	IX87_RS16400
N0.HOG0000095	OG0000052	n1	A1S_0729	GO593_09825	GO593_RS09825	IX87_17880	IX87_RS17550
N0.HOG0000096	OG0000052	n5	A1S_0726	GO593_09810	GO593_RS09810	IX87_17865	IX87_RS17535
N0.HOG0000097	OG0000053	n1	A1S_1905	GO593_17345	GO593_RS17345	IX87_20980	IX87_RS20590
N0.HOG0000098	OG0000053	n5	A1S_1070	GO593_12065	GO593_RS12065	IX87_05595	IX87_RS05455
N0.HOG0000099	OG0000054	n1	A1S_1092	GO593_12340	GO593_RS12340	IX87_05430	IX87_RS05300
N0.HOG0000100	OG0000054	n5	A1S_3132	GO593_04465	GO593_RS04465	IX87_12425	IX87_RS12155
N0.HOG0000101	OG0000055	n1	A1S_2279	GO593_00275	GO593_RS00275	IX87_07495	IX87_RS07310
N0.HOG0000102	OG0000055	n5	A1S_1108	GO593_12440	GO593_RS12440	IX87_05305	IX87_RS05175
N0.HOG0000103	OG0000056	n1	A1S_1122	GO593_12505	GO593_RS12505	IX87_05220	IX87_RS05090
N0.HOG0000104	OG0000056	n5	A1S_3372	GO593_05690	GO593_RS05690	IX87_13930	IX87_RS13630
N0.HOG0000105	OG0000057	n1	A1S_1127	GO593_12530	GO593_RS12530	IX87_05195	IX87_RS05065
N0.HOG0000106	OG0000057	n5	A1S_1132	GO593_12555	GO593_RS12555	IX87_05170	IX87_RS05040
N0.HOG0000107	OG0000058	n1	A1S_1128	GO593_12535	GO593_RS12535	IX87_05190	IX87_RS05060
N0.HOG0000108	OG0000058	n5	A1S_1131	GO593_12550	GO593_RS12550	IX87_05175	IX87_RS05045
N0.HOG0000109	OG0000059	n1	A1S_1143			IX87_08475	IX87_RS08255
N0.HOG0000110	OG0000059	n3	A1S_2038	GO593_11585	GO593_RS11585	IX87_05080, IX87_06110	IX87_RS04950, IX87_RS05945
N0.HOG0000111	OG0000060	n1	A1S_2033			IX87_00100	IX87_RS00100
N0.HOG0000112	OG0000060	n3	A1S_1149	GO593_12725, GO593_11705	GO593_RS12725, GO593_RS11705	IX87_04955	IX87_RS04825
N0.HOG0000113	OG0000061	n1				IX87_00095, IX87_04950	IX87_RS00095, IX87_RS04820
N0.HOG0000114	OG0000061	n5	A1S_1150	GO593_12730	GO593_RS12730		
N0.HOG0000115	OG0000061	n7	A1S_2032	GO593_11710	GO593_RS11710		
N0.HOG0000116	OG0000062	n1	A1S_1400	GO593_14615	GO593_RS14615	IX87_03245	IX87_RS03150
N0.HOG0000117	OG0000062	n5	A1S_1399	GO593_14610	GO593_RS14610	IX87_03250	IX87_RS03155
N0.HOG0000118	OG0000063	n1	A1S_1698	GO593_16090	GO593_RS16090	IX87_19385	IX87_RS19025
N0.HOG0000119	OG0000063	n5	A1S_2329	GO593_00900	GO593_RS00900	IX87_08025	IX87_RS07825
N0.HOG0000120	OG0000064	n1	A1S_1729	GO593_16255	GO593_RS16255	IX87_19550	IX87_RS19190
N0.HOG0000121	OG0000064	n5	A1S_2842	GO593_03225	GO593_RS03225	IX87_11095	IX87_RS10835
N0.HOG0000122	OG0000065	n1	A1S_1929	GO593_17480	GO593_RS17480	IX87_21130	IX87_RS20740
N0.HOG0000123	OG0000065	n5	A1S_3042	GO593_03980	GO593_RS03980	IX87_11905	IX87_RS11645
N0.HOG0000124	OG0000066	n1	A1S_2196	GO593_18725	GO593_RS18725	IX87_06960	IX87_RS06785
N0.HOG0000125	OG0000066	n5	A1S_2280	GO593_00280	GO593_RS00280	IX87_07500	IX87_RS07315
N0.HOG0000126	OG0000067	n1	A1S_3135	GO593_04475	GO593_RS04475	IX87_12435	IX87_RS12165
N0.HOG0000127	OG0000067	n5	A1S_3211	GO593_04845	GO593_RS04845	IX87_12890	IX87_RS12605
N0.HOG0000128	OG0000068	n1	A1S_3486	GO593_07010	GO593_RS07010		IX87_RS22390
N0.HOG0000129	OG0000068	n4	A1S_3907, A1S_3576	GO593_10905	GO593_RS10905	IX87_01035	IX87_RS00995
N0.HOG0000130	OG0000069	n0	A1S_3778, A1S_3603	GO593_11555	GO593_RS11555	IX87_01575, IX87_08505, IX87_10650	IX87_RS01515, IX87_RS08285, IX87_RS10400
N0.HOG0000131	OG0000070	n0		GO593_00680	GO593_RS00680	IX87_08385, IX87_06040, IX87_10555, IX87_07790	IX87_RS05890, IX87_RS07600, IX87_RS10315, IX87_RS08175
N0.HOG0000132	OG0000071	n0		GO593_12690, GO593_11650	GO593_RS12690, GO593_RS11650	IX87_06050, IX87_07800, IX87_10565	IX87_RS05895, IX87_RS07605, IX87_RS10320
N0.HOG0000133	OG0000072	n0	A1S_0723	GO593_09785, GO593_14335	GO593_RS09785, GO593_RS14335	IX87_17850, IX87_03550	IX87_RS17520, IX87_RS03455
N0.HOG0000134	OG0000073	n1	A1S_2773	GO593_02865	GO593_RS02865	IX87_10710	IX87_RS10455
N0.HOG0000135	OG0000073	n5	A1S_0730, A1S_1816	GO593_16930	GO593_RS16930		
N0.HOG0000136	OG0000074	n1	A1S_0870	GO593_10530	GO593_RS10530	IX87_01820	IX87_RS01745
N0.HOG0000137	OG0000074	n5	A1S_2407, A1S_0871	GO593_10535	GO593_RS10535		
N0.HOG0000138	OG0000075	n0	A1S_0990	GO593_16410, GO593_11300	GO593_RS16410, GO593_RS11300	IX87_19740, IX87_00580	IX87_RS19380, IX87_RS00545
N0.HOG0000139	OG0000076	n0	A1S_1585	GO593_00695	GO593_RS00695	IX87_02145, IX87_18620, IX87_10590	IX87_RS02055, IX87_RS18285, IX87_RS10345
N0.HOG0000140	OG0000077	n0	A1S_2025			IX87_00050, IX87_05955, IX87_08295, IX87_04900	IX87_RS00050, IX87_RS08090, IX87_RS04775, IX87_RS05805
N0.HOG0000141	OG0000078	n0	A1S_2027			IX87_04905, IX87_08300, IX87_05960, IX87_00055	IX87_RS08095, IX87_RS04780, IX87_RS05810, IX87_RS00055
N0.HOG0000142	OG0000079	n0	A1S_2030			IX87_04940, IX87_05990, IX87_00085, IX87_08335	IX87_RS04810, IX87_RS05840, IX87_RS08125, IX87_RS00085
N0.HOG0000143	OG0000080	n0	A1S_3605	GO593_12625	GO593_RS12625	IX87_00275, IX87_05095, IX87_08490	IX87_RS00260, IX87_RS04965, IX87_RS08270
N0.HOG0000144	OG0000081	n0	A1S_3688	GO593_00675, GO593_12700	GO593_RS00675, GO593_RS12700	IX87_10550, IX87_07785	IX87_RS07595, IX87_RS10310
N0.HOG0000145	OG0000082	n1	A1S_0636	GO593_12885	GO593_RS12885	IX87_21950	IX87_RS21550
N0.HOG0000146	OG0000082	n5	A1S_1174			IX87_04785	IX87_RS04660
N0.HOG0000147	OG0000083	n0	A1S_0673, A1S_0674	GO593_06665	GO593_RS06665	IX87_12755, IX87_12725	IX87_RS12450, IX87_RS12475
N0.HOG0000148	OG0000084	n1	A1S_0741			IX87_17955	IX87_RS17620
N0.HOG0000149	OG0000084	n3	A1S_0743	GO593_09890	GO593_RS09890	IX87_17970	IX87_RS17635
N0.HOG0000150	OG0000085	n1	A1S_2650			IX87_09785	IX87_RS09560
N0.HOG0000151	OG0000085	n3	A1S_2078	GO593_18135	GO593_RS18135	IX87_06365	IX87_RS06195
N0.HOG0000152	OG0000086	n0	A1S_3610, A1S_3770	GO593_11645, GO593_12685	GO593_RS11645, GO593_RS12685	IX87_05015	IX87_RS04885
N0.HOG0000153	OG0000087	n0		GO593_00450	GO593_RS00450	IX87_07675, IX87_10415, IX87_01950	IX87_RS07485, IX87_RS10175, IX87_RS01875
N0.HOG0000154	OG0000088	n0		GO593_00495	GO593_RS00495	IX87_05875, IX87_04835, IX87_22025	IX87_RS05725, IX87_RS21620, IX87_RS04710
N0.HOG0000155	OG0000089	n0		GO593_11785	GO593_RS11785	IX87_08270, IX87_05925, IX87_04875	IX87_RS08065, IX87_RS04750, IX87_RS05775
N0.HOG0000156	OG0000090	n0		GO593_11845	GO593_RS11845	IX87_05865, IX87_04830, IX87_22020	IX87_RS05715, IX87_RS04705, IX87_RS21615
N0.HOG0000157	OG0000091	n0		GO593_14330, GO593_14385	GO593_RS14330, GO593_RS14385	IX87_03555, IX87_03485	IX87_RS03460, IX87_RS03390
N0.HOG0000158	OG0000092	n0		GO593_14340, GO593_14360	GO593_RS14340, GO593_RS14360	IX87_03545, IX87_03510	IX87_RS03450, IX87_RS03415
N0.HOG0000159	OG0000093	n0	A1S_0233, A1S_2269, A1S_1707	GO593_16130	GO593_RS16130	IX87_19425	IX87_RS19065
N0.HOG0000160	OG0000094	n3	A1S_0242			IX87_15765	
N0.HOG0000161	OG0000094	n4	A1S_0652, A1S_3850		GO593_RS07740		
N0.HOG0000162	OG0000095	n0	A1S_0243, A1S_2930, A1S_0653	GO593_07745	GO593_RS07745	IX87_15770	IX87_RS15455
N0.HOG0000163	OG0000096	n3	A1S_0625, A1S_3509		GO593_RS09185		
N0.HOG0000164	OG0000096	n5	A1S_0548			IX87_17255	
N0.HOG0000165	OG0000097	n0	A1S_0732, A1S_2398, A1S_2771	GO593_02855	GO593_RS02855	IX87_10695	IX87_RS10445
N0.HOG0000166	OG0000098	n0	A1S_0750	GO593_09935, GO593_15230	GO593_RS09935, GO593_RS15230	IX87_02605	IX87_RS02510
N0.HOG0000167	OG0000099	n0	A1S_1148	GO593_11660	GO593_RS11660	IX87_08370, IX87_06025	IX87_RS05875, IX87_RS08160
