AB19606	AB030	genes	preferred_names
GO593_15475	IX87_02345	msbA	IX87_02345
GO593_12050	IX87_05625	pyrC	IX87_05625
GO593_10325	IX87_18465	pth	IX87_18465
GO593_00865	IX87_07985	tsf	tsf
GO593_15480	IX87_02340	lpxK	lpxK
GO593_10295	IX87_18435	thiD	thiD
GO593_10520	IX87_01830	fusA, fusA2, fusA1	fusA
GO593_13170	IX87_04465, IX87_10615	unknown	AIL77913.1, AIL79063.1
GO593_08945	IX87_16990	clpX	clpX
GO593_04095	IX87_12030	rpmJ	rpmJ
GO593_10575	IX87_01760	minE	minE
GO593_13175	IX87_04460	unknown	IX87_04460
GO593_09060	IX87_17110	ispG, gcpE	IX87_17110
GO593_04080	IX87_12015	rpsD	IX87_12015
GO593_04105	IX87_12040	rplO	rplO
GO593_07350	IX87_15340	atpF	atpF
GO593_05500	IX87_13700	ddlB, ddlA	ddlB
GO593_05795	IX87_14025	glmS	glmS
GO593_08765	IX87_16855	purU, purU1, purU2	IX87_16855
GO593_17935	IX87_21895	aroQ, aroQ2, aroQ1	aroQ
GO593_11915	IX87_05760	unknown	smc_2
GO593_02105	IX87_09635	gyrA	gyrA
GO593_04160	IX87_12095	rpmC	rpmC
GO593_01245	IX87_08770	efp	efp
GO593_17830	IX87_21760	unknown	IX87_21760
GO593_04090	IX87_12025	rpsM	rpsM
GO593_01465	IX87_08990	thiE	thiE
GO593_04155	IX87_12090	rpsQ	rpsQ
GO593_17305	IX87_20940	eno	eno
GO593_11535	unknown	unknown	unknown
GO593_10190	IX87_18330	ligA, lig	ligA
GO593_09040	IX87_17090	ndk	ndk
GO593_07835	IX87_15860	hemC	hemC
GO593_09905	IX87_18005	nrdB	AIL80430.1
GO593_08165	IX87_16210	tpiA	tpiA
GO593_01425	IX87_08950, IX87_14785	desB	AIL78748.1, AIL79828.1
GO593_09475	IX87_17540	accA	accA
GO593_09415	IX87_17480	rplT	rplT
GO593_11935	IX87_05740	ubiI	ubiI
GO593_02590	IX87_10165	lipB	lipB
GO593_17695	IX87_21620	lpxA	lpxA
GO593_04075	IX87_12010	rpoA	IX87_12010
GO593_10515	IX87_01835	rpsG	rpsG
GO593_08770	IX87_16860	unknown	IX87_16860
GO593_18325	IX87_06545	hfq	hfq
GO593_07370	IX87_15360	atpD	atpD
GO593_17945	IX87_21905	accC	accC
GO593_04795	IX87_12835	murF	murF
GO593_18605	IX87_06835	cyoD	cyoD
