HOG	OG	Gene Tree Parent Clade	Acinetobacter_baumannii_19606	Acinetobacter_baumannii_AB030	Acinetobacter_baumannii_AB5075_UW	Acinetobacter_baumannii_ATCC_17978	Escherichia_coli_BW25113	Escherichia_coli_MG1655	Pseudomonas_aeruginosa_PAO1
N0.HOG0000010	OG0000001	n46							PA1020, PA1022, PA0879
N0.HOG0000011	OG0000002	n0		IX87_15145, IX87_17250, IX87_16595, IX87_19245, IX87_21930, IX87_19605, IX87_15600, IX87_13635, IX87_20545, IX87_20045, IX87_11460, IX87_13360, IX87_12445, IX87_20535, IX87_07115, IX87_20250, IX87_20620, IX87_07250, IX87_19795, IX87_13500, IX87_09185, IX87_10030, IX87_18310, IX87_05615, IX87_15540, IX87_21550, IX87_17895, IX87_10800, IX87_12300, IX87_20060, IX87_13365, IX87_20600, IX87_17910, IX87_14915, IX87_07045, IX87_13730, IX87_16095, IX87_07265, IX87_19840, IX87_10055, IX87_12525, IX87_12910, IX87_21495, IX87_18065					
N0.HOG0000012	OG0000003	n1	GO593_18825		ABUW_1506, ABUW_3323	HKO16_15545	BW25113_1969, BW25113_0571	b1969, b0571	PA1437, PA2523, PA4885, PA2809
N0.HOG0000013	OG0000003	n12	GO593_02760, GO593_00325	IX87_10335, IX87_07545	ABUW_0828, ABUW_1353	HKO16_14540, HKO16_12170	BW25113_4113, BW25113_3025	b4113, b3025	PA4032, PA0267, PA2686, PA0929, PA0756, PA2657, PA4776, PA2479
N0.HOG0000014	OG0000004	n1	GO593_13195	IX87_04440	ABUW_2513, ABUW_2690	HKO16_06150	BW25113_3556, BW25113_1557, BW25113_1552, BW25113_0990, BW25113_0623, BW25113_1823, BW25113_0880	b3556, b1557, b1552, b0990, b0623, b1823, b0880	PA2622
N0.HOG0000015	OG0000004	n20	GO593_00200	IX87_07420	ABUW_1377	HKO16_12020			PA3266, PA0456, PA0961, PA1159
N0.HOG0000016	OG0000005	n0		IX87_20275, IX87_02615, IX87_17235, IX87_07095, IX87_21855, IX87_21975, IX87_05555, IX87_21875, IX87_08580, IX87_01810, IX87_14495, IX87_01280, IX87_16820, IX87_11170, IX87_13235, IX87_20520, IX87_18040, IX87_13160, IX87_21085, IX87_16840, IX87_15715, IX87_19310, IX87_21725, IX87_05385	ABUW_0562, ABUW_0672, ABUW_2539	HKO16_17855			
N0.HOG0000017	OG0000006	n0	GO593_07700	IX87_15710	ABUW_3641	HKO16_01250	BW25113_4004, BW25113_2220	b4004, b2220	PA4547, PA2005, PA1196, PA4021, PA4147, PA1663, PA1945, PA1097, PA3932, PA2359, PA2354, PA1099, PA5511, PA5166, PA1335, PA2881, PA2572, PA4726, PA5483
N0.HOG0000018	OG0000007	n0		IX87_05380, IX87_08575, IX87_13240, IX87_13155, IX87_21730, IX87_20515, IX87_21980, IX87_19315, IX87_15720, IX87_21870, IX87_20270, IX87_18045, IX87_11175, IX87_14500, IX87_02620, IX87_21090, IX87_01805, IX87_21850, IX87_16835, IX87_05550, IX87_17230, IX87_01275, IX87_16815, IX87_07100	ABUW_0671, ABUW_2540, ABUW_0561				
N0.HOG0000019	OG0000008	n0	GO593_14435	IX87_03435	ABUW_2457	HKO16_06915	BW25113_3243	b3243	PA2838, PA0159, PA3895, PA0876, PA0181, PA2547, PA0056, PA1067, PA2056, PA3565, PA2681, PA3630, PA1201, PA2432, PA2123, PA2848, PA2258, PA1312, PA2447, PA4145
N0.HOG0000020	OG0000009	n0		IX87_04245, IX87_03200, IX87_00545, IX87_01125, IX87_04085, IX87_01025, IX87_03210, IX87_02690, IX87_06665, IX87_02715, IX87_06405, IX87_00915, IX87_02765, IX87_05505, IX87_07015, IX87_00335, IX87_06340, IX87_04025, IX87_02450, IX87_06170, IX87_04155, IX87_03030, IX87_01080, IX87_00490, IX87_05415					
N0.HOG0000021	OG0000010	n0							PA3708, PA1423, PA1930, PA4290, PA2573, PA0180, PA1561, PA4844, PA2788, PA2920, PA2654, PA4633, PA4309, PA4310, PA4307, PA2652, PA4520, PA1251, PA1608, PA2867, PA4915, PA2561, PA5072, PA1646
N0.HOG0000022	OG0000011	n1	GO593_05865, GO593_01380	IX87_14095, IX87_08905	ABUW_0071, ABUW_1114	HKO16_00355, HKO16_12950	BW25113_0576	b0576	
N0.HOG0000023	OG0000011	n10	GO593_12300, GO593_02815	IX87_05475, IX87_10395	ABUW_2808, ABUW_0817	HKO16_05270, HKO16_14595	BW25113_0112	b0112	PA0866, PA3000
N0.HOG0000024	OG0000012	n1	GO593_07135	IX87_15115	ABUW_3779	HKO16_18470	BW25113_2262	b2262	PA2767, PA0745, PA1821, PA1021, PA3426
N0.HOG0000025	OG0000012	n11	GO593_14095, GO593_14380	IX87_03745, IX87_03490	ABUW_2530, ABUW_2468	HKO16_06765	BW25113_1393	b1393	PA1629, PA3591
N0.HOG0000026	OG0000013	n0	GO593_09175	IX87_17225	ABUW_3354	HKO16_02785	BW25113_1285	b1285	PA1727, PA3311, PA4367, PA2072, PA2133, PA3258, PA3947, PA2567, PA5295, PA0861, PA1433, PA0575, PA0285, PA5442, PA4601, PA5017
N0.HOG0000027	OG0000014	n0					BW25113_3218, BW25113_3505, BW25113_1331, BW25113_2192, BW25113_2030, BW25113_0259, BW25113_2982, BW25113_0656, BW25113_0552, BW25113_1994	b1994, b3505, b0259, b2982, b2192, b3218, b1370, b1331, b4711, b0656, b0552, b2030	
N0.HOG0000028	OG0000015	n1	GO593_03430, GO593_14420	IX87_11315, IX87_03450	ABUW_0606, ABUW_2460	HKO16_15220			PA0506
N0.HOG0000029	OG0000015	n9	GO593_04360	IX87_12305	ABUW_0374	HKO16_16385			PA1284
N0.HOG0000030	OG0000015	n13	GO593_03435	IX87_11320	ABUW_0605	HKO16_15225			PA0507, PA5187, PA4199, PA0508
N0.HOG0000031	OG0000016	n1					BW25113_1397	b1397	
N0.HOG0000032	OG0000016	n3	GO593_14110, GO593_14365	IX87_03730, IX87_03505	ABUW_2527, ABUW_2471	HKO16_06780			PA3589
N0.HOG0000033	OG0000016	n10	GO593_17275, GO593_17080	IX87_20910, IX87_20715	ABUW_1833, ABUW_1872	HKO16_09855, HKO16_09660			PA0228
N0.HOG0000034	OG0000017	n1	GO593_16960			HKO16_09535	BW25113_0076	b0076	PA2551, PA1399, PA2121
N0.HOG0000035	OG0000017	n7	GO593_16250	IX87_19545	ABUW_2100	HKO16_08990			PA1223, PA2834, PA3321, PA5189, PA0477, PA0272, PA2492, PA4902
N0.HOG0000036	OG0000018	n1			ABUW_1896				PA5032
N0.HOG0000037	OG0000018	n2	GO593_15360, GO593_02855	IX87_02470, IX87_10695	ABUW_2282, ABUW_0726	HKO16_07795, HKO16_12730, HKO16_14635			PA2227, PA2588, PA3027, PA3094, PA2704, PA5324, PA0306
N0.HOG0000038	OG0000019	n0	GO593_05555	IX87_13780	ABUW_0137	HKO16_17620			PA2771, PA5487, PA0169, PA0338, PA4843, PA3177, PA3343, PA1851, PA0847, PA4929, PA0290, PA1107, PA4332, PA2870
N0.HOG0000039	OG0000020	n0	GO593_14050, GO593_12410, GO593_17020, GO593_16825	IX87_03790, IX87_05345, IX87_20425, IX87_20655	ABUW_2542, ABUW_2787, ABUW_1933, ABUW_1884	HKO16_06720, HKO16_05375, HKO16_09380, HKO16_09600			PA2217, PA1253
N0.HOG0000040	OG0000021	n0	GO593_16270, GO593_17285, GO593_17070, GO593_14395	IX87_19565, IX87_20920, IX87_20705, IX87_03475	ABUW_2096, ABUW_1874, ABUW_1831, ABUW_2465	HKO16_09010, HKO16_09650, HKO16_09865	BW25113_2221	b2221	PA1999
N0.HOG0000041	OG0000022	n0	GO593_16505, GO593_15220	IX87_02625	ABUW_2053, ABUW_2311	HKO16_07655	BW25113_2110, BW25113_0140, BW25113_3143	b2110, b0140, b3143	PA0499, PA0993, PA4085, PA4083, PA2129, PA2132
N0.HOG0000042	OG0000023	n0		IX87_00985	ABUW_2987		BW25113_4293	b4293	PA1363, PA0675, PA2387, PA0149, PA3410, PA2426, PA1300, PA2093, PA2050, PA0472, PA2468, PA4896, PA1912, PA3899
N0.HOG0000043	OG0000024	n0							PA4179, PA0291, PA0240, PA4898, PA2213, PA4501, PA2700, PA0189, PA0958, PA2505, PA0162, PA2420, PA4137, PA3038, PA1025, PA2113, PA3588, PA0755
N0.HOG0000044	OG0000025	n0	GO593_01210, GO593_02215, GO593_16605, GO593_14160	IX87_08730, IX87_09745, IX87_20260, IX87_07220, IX87_03695	ABUW_1163, ABUW_1959, ABUW_1159, ABUW_2520	HKO16_12705, HKO16_13965, HKO16_09205, HKO16_06820			
N0.HOG0000045	OG0000026	n0	GO593_18105, GO593_02445, GO593_17600	IX87_06325, IX87_10005, IX87_21520	ABUW_1661, ABUW_0890, ABUW_1763	HKO16_11050, HKO16_14230, HKO16_10180			PA2833, PA5027, PA4352, PA3017, PA3309
N0.HOG0000046	OG0000027	n1	GO593_12075	IX87_10405	ABUW_0815	HKO16_15365	BW25113_2622	b2622	
N0.HOG0000047	OG0000027	n6	GO593_10740, GO593_06580	IX87_08145, IX87_01940	ABUW_3017	HKO16_15460, HKO16_17750	BW25113_2442, BW25113_2349	b2442, b2349	
N0.HOG0000048	OG0000028	n1	GO593_10465	IX87_01885	ABUW_3072	HKO16_04090	BW25113_1803	b1803	PA0545, PA3498
N0.HOG0000049	OG0000028	n8	GO593_17120, GO593_12475	IX87_20750, IX87_05270	ABUW_1864, ABUW_2774	HKO16_09700, HKO16_05440			PA4905
N0.HOG0000050	OG0000029	n1					BW25113_1301	b1301	
N0.HOG0000051	OG0000029	n4	GO593_12305	IX87_05470	ABUW_2807	HKO16_05275			PA0534
N0.HOG0000052	OG0000029	n8		IX87_13340					PA1028, PA5416, PA1567, PA1918, PA3424
N0.HOG0000053	OG0000029	n13							PA1565, PA2317, PA5309, PA2776
N0.HOG0000054	OG0000030	n0		IX87_00980	ABUW_2986		BW25113_4292	b4292	PA3409, PA0150, PA0676, PA2388, PA1364, PA1301, PA2094, PA2051, PA0471, PA1911, PA4895, PA2467, PA3900
N0.HOG0000055	OG0000031	n1	GO593_02605	IX87_10180	ABUW_0857	HKO16_14390	BW25113_2014, BW25113_1296	b2014, b1296	PA2041
N0.HOG0000056	OG0000031	n9	GO593_12310	IX87_05465	ABUW_2806	HKO16_05280			PA5510, PA3597, PA0322
N0.HOG0000057	OG0000032	n0	GO593_14715	IX87_03130	ABUW_1145	HKO16_07205	BW25113_2808	b2808	PA0784, PA0032, PA3845, PA2383, PA5293, PA0037, PA2930, PA1184, PA4109, PA0207
N0.HOG0000058	OG0000033	n2	GO593_14820		ABUW_2381	HKO16_07310			PA3937
N0.HOG0000059	OG0000033	n5	GO593_16205	IX87_19500	ABUW_2109	HKO16_08945			PA3514, PA2308, PA2329, PA3447, PA0184, PA2294
N0.HOG0000060	OG0000033	n14					BW25113_0366	b0366	
N0.HOG0000061	OG0000034	n0		IX87_16830, IX87_21865			BW25113_0265, BW25113_0275, BW25113_3444, BW25113_0022, BW25113_4294, BW25113_4516	b0275, b4516, b0022, b1894, b4709, b3444, b4294, b0265	
N0.HOG0000062	OG0000035	n0					BW25113_2370	b2370	PA3946, PA3044, PA2583, PA0033, PA0172, PA0991, PA5484, PA4982, PA4856, PA3462, PA3974, PA2824, PA4112, PA1611
N0.HOG0000063	OG0000036	n0	GO593_09180, GO593_05115, GO593_13785, GO593_18170	IX87_17240, IX87_13280, IX87_04065, IX87_06400	ABUW_3353, ABUW_2596, ABUW_1645	HKO16_02790, HKO16_17195, HKO16_06440, HKO16_11115			
N0.HOG0000064	OG0000037	n0	GO593_10460, GO593_05190, GO593_14260	IX87_01890, IX87_13405, IX87_20455, IX87_03625	ABUW_3073, ABUW_0204, ABUW_2492	HKO16_04085, HKO16_17285	BW25113_2661	b2661	PA0265
N0.HOG0000065	OG0000038	n1	GO593_18635	IX87_06865	ABUW_1544	HKO16_06860, HKO16_11580	BW25113_4053	b4053	PA4930
N0.HOG0000066	OG0000038	n8	GO593_07090	IX87_15070	ABUW_3788	HKO16_18515	BW25113_1190	b1190	PA5302
N0.HOG0000067	OG0000039	n0	GO593_12270, GO593_13670, GO593_16915, GO593_09855	IX87_05535, IX87_04265, IX87_17945	ABUW_2818, ABUW_2629, ABUW_1912, ABUW_3194	HKO16_05255, HKO16_06340, HKO16_09490, HKO16_03490			
N0.HOG0000068	OG0000040	n0	GO593_11165	IX87_00720	ABUW_2935	HKO16_04625	BW25113_1790	b1790	PA0864, PA3927, PA3830, PA1599, PA1235, PA0163, PA2488, PA1109, PA1229
N0.HOG0000069	OG0000041	n0	GO593_12885, GO593_14555	IX87_21950, IX87_04785, IX87_01105, IX87_03300	ABUW_2431	HKO16_05845, HKO16_00900, HKO16_07040	BW25113_1183, BW25113_4043	b1183, b4043	PA3007
N0.HOG0000070	OG0000042	n1		IX87_04560			BW25113_3844	b3844	PA2994, PA5236, PA4331
N0.HOG0000071	OG0000042	n7	GO593_16355	IX87_19660	ABUW_2083				PA2514
N0.HOG0000072	OG0000042	n10	GO593_13090	IX87_04585	ABUW_2712	HKO16_06045			PA2516
N0.HOG0000073	OG0000043	n0	GO593_11875, GO593_00455, GO593_12860, GO593_13180	IX87_21995, IX87_04805, IX87_05840, IX87_08160, IX87_04455	ABUW_2659, ABUW_0809, ABUW_2693	HKO16_05820, HKO16_06135			
N0.HOG0000074	OG0000044	n0	GO593_07100, GO593_07105, GO593_02155	IX87_15080, IX87_15085, IX87_09675	ABUW_3786, ABUW_3785, ABUW_0951	HKO16_18505, HKO16_18500, HKO16_13895	BW25113_4208	b4208	
N0.HOG0000075	OG0000045	n0	GO593_02680	IX87_10260	ABUW_0843	HKO16_14465	BW25113_2470, BW25113_3514, BW25113_0462, BW25113_3266	b2470, b3514, b0462, b3266	PA2018, PA0426
N0.HOG0000076	OG0000046	n1					BW25113_4051	b4051	
N0.HOG0000077	OG0000046	n4	GO593_02830	IX87_10670	ABUW_0731	HKO16_14610			PA3256
N0.HOG0000078	OG0000046	n8		IX87_20580					PA1137
N0.HOG0000079	OG0000046	n9							PA0863, PA5234, PA2491, PA2680, PA0023
N0.HOG0000080	OG0000047	n0	GO593_04465, GO593_12340	IX87_12425, IX87_05430	ABUW_0351, ABUW_2800	HKO16_16500, HKO16_05310	BW25113_3359, BW25113_1748	b3359, b1748	PA0895, PA0530
N0.HOG0000081	OG0000048	n1	GO593_18300	IX87_06520	ABUW_1614	HKO16_11245	BW25113_0525	b0525	PA1793
N0.HOG0000082	OG0000048	n7	GO593_06385	IX87_14635	ABUW_3872	HKO16_18975	BW25113_3363	b3363	PA3227
N0.HOG0000083	OG0000049	n1	GO593_07525	IX87_15515	ABUW_3701	HKO16_18075	BW25113_1809	b1809	PA5303, PA1568
N0.HOG0000084	OG0000049	n8	GO593_07095	IX87_15075	ABUW_3787	HKO16_05215, HKO16_18510			PA5083
N0.HOG0000085	OG0000050	n0	GO593_10525, GO593_07915	IX87_15945, IX87_01825	ABUW_3060, ABUW_3598	HKO16_04150, HKO16_01470	BW25113_3980, BW25113_3339	b3980, b3339	PA4265, PA4277
N0.HOG0000086	OG0000051	n0	GO593_13665, GO593_08665	IX87_04270, IX87_16725	ABUW_2630, ABUW_3447	HKO16_06325, HKO16_02225	BW25113_2378, BW25113_1054	b2378, b1054	PA0011, PA3242
N0.HOG0000087	OG0000052	n0	GO593_12865, GO593_11880, GO593_13185, GO593_13505	IX87_05830, IX87_08155, IX87_04800, IX87_04450, IX87_21320	ABUW_0810, ABUW_1440, ABUW_2692	HKO16_05825, HKO16_06140			
N0.HOG0000088	OG0000053	n1	GO593_12065	IX87_05595	ABUW_2822	HKO16_05180			PA5398, PA4986
N0.HOG0000089	OG0000053	n6	GO593_17345	IX87_20980	ABUW_1819	HKO16_09925	BW25113_3081	b3081	PA4814, PA3092
N0.HOG0000090	OG0000054	n0	GO593_15035, GO593_15030	IX87_02795, IX87_02800	ABUW_2338, ABUW_2339	HKO16_07525, HKO16_07520	BW25113_0197, BW25113_3661	b0197, b3661	PA2349, PA3931
N0.HOG0000091	OG0000055	n0	GO593_16950	IX87_20065		HKO16_09525	BW25113_2426	b2426	PA4148, PA4098, PA3387, PA5150, PA4162, PA3106, PA1827, PA5524, PA1649
N0.HOG0000092	OG0000056	n1	GO593_17085, GO593_17265	IX87_20720, IX87_20900	ABUW_1871, ABUW_1835	HKO16_09665, HKO16_09845			PA0231
N0.HOG0000093	OG0000056	n9		IX87_20075			BW25113_1009	b1009	PA0480, PA3226
N0.HOG0000094	OG0000057	n0				HKO16_17730	BW25113_0541, BW25113_0372, BW25113_0299, BW25113_2089, BW25113_1026	b1026, b0541, b0299, b0372, b2089	PA0257, PA1938, PA0978
N0.HOG0000095	OG0000058	n0	GO593_00395	IX87_07615	ABUW_1339	HKO16_12240	BW25113_2309, BW25113_2310	b2309, b2310	PA2923, PA0888, PA3865, PA5076, PA1260
N0.HOG0000096	OG0000059	n0	GO593_13225, GO593_11730, GO593_00600	IX87_04415, IX87_04930, IX87_08325, IX87_00075, IX87_05980	ABUW_2684, ABUW_0777, ABUW_1294	HKO16_06180, HKO16_10715			
N0.HOG0000097	OG0000060	n0	GO593_01165	IX87_08680	ABUW_1175	HKO16_12655	BW25113_0151, BW25113_4287, BW25113_0588	b0151, b4287, b0588	PA4706, PA2912, PA4158
N0.HOG0000098	OG0000061	n0	GO593_02675	IX87_10255	ABUW_0844	HKO16_14460	BW25113_0463, BW25113_3265, BW25113_3513	b0463, b3265, b3513	PA2019, PA4599, PA0425
N0.HOG0000099	OG0000062	n0	GO593_02960, GO593_02785	IX87_10825, IX87_10365	ABUW_0705, ABUW_0823	HKO16_14745, HKO16_14565	BW25113_1234	b1234	PA3339, PA3241, PA1640
N0.HOG0000100	OG0000063	n0	GO593_03105	IX87_10970	ABUW_0675	HKO16_14890	BW25113_2075, BW25113_2076	b2075, b2076	PA4375, PA4207, PA1436, PA2527, PA2526
N0.HOG0000101	OG0000064	n0	GO593_03715	IX87_11640	ABUW_0505	HKO16_15735	BW25113_2605	b2605	PA1777, PA1041, PA1048, PA2900, PA3692, PA3526, PA1119
N0.HOG0000102	OG0000065	n0	GO593_05345	IX87_13535	ABUW_0180	HKO16_17405	BW25113_1221	b1221	PA3604, PA1978, PA4296, PA0533, PA2376, PA1397, PA3879
N0.HOG0000103	OG0000066	n0	GO593_16925, GO593_07575	IX87_15575	ABUW_3689	HKO16_09500, HKO16_18025	BW25113_1805	b1805	PA3860, PA1617, PA1215, PA3300, PA3299
N0.HOG0000104	OG0000067	n0	GO593_08105	IX87_16150	ABUW_3560	HKO16_01665	BW25113_3241, BW25113_1644	b3241, b1644	PA3360, PA2430, PA3892, PA3304, PA1231
N0.HOG0000105	OG0000068	n1	GO593_14660	IX87_03185	ABUW_2412	HKO16_07150			PA2534
N0.HOG0000106	OG0000068	n5	GO593_08485	IX87_16540	ABUW_3482	HKO16_02050	BW25113_3521	b3521	PA4174, PA2877
N0.HOG0000107	OG0000069	n0	GO593_09535	IX87_17600	ABUW_3262	HKO16_03160	BW25113_0219	b0219	PA4475, PA2074, PA0293, PA3093, PA3598, PA3366, PA3797
N0.HOG0000108	OG0000070	n1		IX87_18890	ABUW_2221	HKO16_08365	BW25113_0829	b0829	
N0.HOG0000109	OG0000070	n5	GO593_12025	IX87_05650	ABUW_2836	HKO16_05135	BW25113_2180	b2180	PA2061, PA1807
N0.HOG0000110	OG0000071	n0	GO593_13115	IX87_04520	ABUW_2707, ABUW_3325	HKO16_06070, HKO16_15555	BW25113_3469, BW25113_0484	b3469	PA1549, PA2435, PA3690, PA3920
N0.HOG0000111	OG0000072	n0	GO593_13750	IX87_04100	ABUW_2604	HKO16_06420	BW25113_0711, BW25113_0712	b0711, b0712	PA4510, PA2111, PA2110, PA4509, PA0496
N0.HOG0000112	OG0000073	n0	GO593_15655	IX87_18880	ABUW_2223	HKO16_08355	BW25113_3477, BW25113_0831, BW25113_1486, BW25113_3543	b3477, b0831, b1486, b3543	PA4503
N0.HOG0000113	OG0000074	n0	GO593_18130, GO593_15945	IX87_06360, IX87_19180	ABUW_1655, ABUW_2165	HKO16_11075, HKO16_08645	BW25113_1102	b1102	PA4168, PA4221, PA2398
N0.HOG0000114	OG0000075	n0	GO593_18440	IX87_06670	ABUW_1586	HKO16_11385	BW25113_1297	b1297	PA3356, PA0298, PA5508, PA1566, PA5522, PA0296, PA2040
N0.HOG0000115	OG0000076	n0				HKO16_14215	BW25113_3264, BW25113_0464	b3264, b0464	PA2270, PA1290, PA1226, PA1283, PA0828, PA1315, PA2020, PA3574
N0.HOG0000116	OG0000077	n0					BW25113_1123, BW25113_0854	b1123, b0854	PA0203, PA0323, PA3610, PA0295, PA2592, PA0301, PA0300, PA2711, PA1410
N0.HOG0000117	OG0000078	n0							PA2177, PA1243, PA1098, PA2882, PA2571, PA4398, PA4725, PA4494, PA4293, PA4197, PA5165, PA1336, PA5512
N0.HOG0000118	OG0000079	n1	GO593_00355	IX87_07575	ABUW_1347	HKO16_12200			PA1367
N0.HOG0000119	OG0000079	n5		IX87_17995	ABUW_3188		BW25113_1464	b1464	PA1904, PA4215, PA4716
N0.HOG0000120	OG0000080	n0	GO593_00380	IX87_07600		HKO16_12225	BW25113_2306	b2306	PA0892, PA5074, PA3838, PA4192, PA1256, PA5152, PA2926
N0.HOG0000121	OG0000081	n1					BW25113_0168	b0168	
N0.HOG0000122	OG0000081	n3	GO593_00875	IX87_07995	ABUW_1234	HKO16_12365			PA3657
N0.HOG0000123	OG0000081	n7	GO593_17535	IX87_21185	ABUW_1778	HKO16_10120			PA2748
N0.HOG0000124	OG0000082	n0	GO593_01135, GO593_16395	IX87_08650, IX87_19700	ABUW_1181, ABUW_2075	HKO16_12625, HKO16_13615	BW25113_0595	b0595	PA4213, PA1902
N0.HOG0000125	OG0000083	n1	GO593_01435	IX87_08960	ABUW_1103	HKO16_13005	BW25113_3963	b3963	PA1539
N0.HOG0000126	OG0000083	n7	GO593_06525	IX87_14775	ABUW_3844	HKO16_18835			PA4890
N0.HOG0000127	OG0000084	n0	GO593_01810, GO593_04820	IX87_09325, IX87_12860	ABUW_1021, ABUW_0280	HKO16_13385, HKO16_16850	BW25113_3917	b3917	PA0283, PA1493
N0.HOG0000128	OG0000085	n1	GO593_02345	IX87_09900	ABUW_0910	HKO16_14120			PA5530
N0.HOG0000129	OG0000085	n5	GO593_16220	IX87_19515	ABUW_2106	HKO16_08960	BW25113_2587	b2587	PA0229
N0.HOG0000130	OG0000086	n0	GO593_02625	IX87_10200	ABUW_0853	HKO16_14410	BW25113_3368	b3368	PA2611, PA0510, PA2904, PA2903, PA2948, PA1778
N0.HOG0000131	OG0000087	n0	GO593_03225, GO593_16255	IX87_11095, IX87_19550	ABUW_0647, ABUW_2099	HKO16_15015, HKO16_08995	BW25113_2224	b2224	PA3925, PA2553
N0.HOG0000132	OG0000088	n0	GO593_03415	IX87_11300	ABUW_0609	HKO16_15205	BW25113_2079, BW25113_3912, BW25113_4398	b2079, b3912, b4398	PA3204, PA0463
N0.HOG0000133	OG0000089	n0	GO593_04415	IX87_12375	ABUW_0361	HKO16_16450	BW25113_1526	b1526	PA0708, PA0218, PA0491, PA0816, PA4203, PA1413
N0.HOG0000134	OG0000090	n1					BW25113_1732	b1732	
N0.HOG0000135	OG0000090	n3	GO593_05735	IX87_20560		HKO16_00500			PA4236, PA4613
N0.HOG0000136	OG0000090	n7	GO593_14530	IX87_03325	ABUW_2436	HKO16_07015			PA2147
N0.HOG0000137	OG0000091	n0	GO593_06470	IX87_14720	ABUW_3855	HKO16_18890	BW25113_0935	b0935	PA2600, PA2598, PA2090, PA1186, PA2356, PA3444
N0.HOG0000138	OG0000092	n0	GO593_07875	IX87_15900	ABUW_3606	HKO16_01430	BW25113_3325	b3325	PA1868, PA3105, PA0685, PA1716, PA4304, PA1382
N0.HOG0000139	OG0000093	n0	GO593_17965, GO593_12245, GO593_09185, GO593_09790	IX87_06165, IX87_17255	ABUW_1692, ABUW_3352	HKO16_10900, HKO16_02795, HKO16_01060, HKO16_01085			
N0.HOG0000140	OG0000094	n0	GO593_09190, GO593_15105, GO593_17960	IX87_17260, IX87_02705, IX87_06160	ABUW_3351, ABUW_2324, ABUW_1693	HKO16_02800, HKO16_07595, HKO16_10895			
N0.HOG0000141	OG0000095	n0	GO593_14390, GO593_09780, GO593_14325	IX87_03480, IX87_17845, IX87_03560	ABUW_2466, ABUW_3213, ABUW_2479	HKO16_03405			PA2114, PA1019
N0.HOG0000142	OG0000096	n0	GO593_09785, GO593_14335	IX87_17850, IX87_03550	ABUW_3212, ABUW_2477	HKO16_03410	BW25113_2371	b2371	PA0446, PA3592, PA0882
N0.HOG0000143	OG0000097	n1	GO593_17030	IX87_20665		HKO16_09610	BW25113_2246	b2246	PA2214
N0.HOG0000144	OG0000097	n6	GO593_11195	IX87_00690	ABUW_2929	HKO16_04660			PA2262, PA4126
N0.HOG0000145	OG0000098	n0	GO593_14900, GO593_13035	IX87_04640, IX87_02930	ABUW_2723, ABUW_2365	HKO16_05990, HKO16_07390	BW25113_0606	b0606	PA4170, PA0140
N0.HOG0000146	OG0000099	n1	GO593_13095	IX87_04580	ABUW_2711	HKO16_06050			PA2517
N0.HOG0000147	OG0000099	n5	GO593_16360	IX87_19665	ABUW_2082		BW25113_2539	b2539	PA2513, PA2085
