operon	strand	tss	condensed_name	Pathways	operon_genes	operon_AB19606	operon_AB030	Essentials in operon	total_size
TU286Y-379	+	704546	GO593_03265	Other	GO593_03265	GO593_03265	IX87_11135	1	1
TU286Y-386	-	717634	secA	Other	secA	GO593_03315	IX87_11200	1	1
TU286Y-390	-	723677	accD-folC	Other	accD, folC	GO593_03345, GO593_03340	IX87_11230, IX87_11225	2	4
TU286Y-407	+	752784	aspS	tRNA Ligase	aspS	GO593_03480	IX87_11355	1	1
TU286Y-409	-	763273	gtrOC1	Other	gtrOC1	GO593_03530	IX87_11425	1	5
TU286Y-418	+	774871	secDF	Other	secD, secF	GO593_03585, GO593_03590	IX87_11510, IX87_11515	2	2
TU286Y-2488	-	779064	dfp	Other	dfp	GO593_03595	IX87_11520	1	1
TU286Y-421	+	781760	ispZ	Other	ispZ	GO593_03615	IX87_11540	1	4
TU286Y-436	-	809682	pdxA	Other	pdxA	GO593_03765	IX87_11690	1	3
TU286Y-437	+	809854	rplM-rpsI	Ribosome	rplM, rpsI	GO593_03770, GO593_03775	IX87_11695, IX87_11700	2	2
TU286Y-447	-	832047	pssA	Other	pssA	GO593_03875	IX87_11800	1	2
TU286Y-456	+	841455	ybeY	Other	ybeY	GO593_03925	IX87_11850	1	2
TU286Y-468	-	867023	cptB	Other	cptB	GO593_04055	IX87_11990	1	2
TU286Y-470	-	872927	rpsMKD-rpoA-rplQ	Ribosome+Other	rpsM, rpsK, rpsD, rpoA, rplQ	GO593_04090, GO593_04085, GO593_04080, GO593_04075, GO593_04070	IX87_12025, IX87_12020, IX87_12015, IX87_12010, IX87_12005	5	5
TU286Y-471	-	874524	secY-rpmJ	Ribosome+Other	secY, rpmJ	GO593_04100, GO593_04095	IX87_12035, IX87_12030	2	2
TU286Y-472	-	878545	rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO	Ribosome	rplN, rplX, rplE, rpsN, rpsH, rplF, rplR, rpsE, rpmD, rplO	GO593_04150, GO593_04145, GO593_04140, GO593_04135, GO593_04130, GO593_04125, GO593_04120, GO593_04115, GO593_04110, GO593_04105	IX87_12085, IX87_12080, IX87_12075, IX87_12070, IX87_12065, IX87_12060, IX87_12055, IX87_12050, IX87_12045, IX87_12040	10	10
TU286Y-473	-	883295	rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	Ribosome	rplC, rplD, rplW, rplB, rpsS, rplV, rpsC, rplP, rpmC, rpsQ	GO593_04200, GO593_04195, GO593_04190, GO593_04185, GO593_04180, GO593_04175, GO593_04170, GO593_04165, GO593_04160, GO593_04155	IX87_12135, IX87_12130, IX87_12125, IX87_12120, IX87_12115, IX87_12110, IX87_12105, IX87_12100, IX87_12095, IX87_12090	10	10
TU286Y-474	-	883664	rpsJ	Ribosome	rpsJ	GO593_04205	IX87_12140	1	1
TU286Y-480	+	889134	yihA	Other	yihA	GO593_04235	IX87_12170	1	1
TU286Y-2472	+	893547	plsB	Other	plsB	GO593_04255	IX87_12190	1	1
TU286Y-493	-	911737	dxs	Other	dxs	GO593_04335	IX87_12270	1	1
TU286Y-494	+	912040	ribA	Other	ribA	GO593_04340	IX87_12275	1	1
TU286Y-495	+	912770	hemF	Other	hemF	GO593_04345	IX87_12280	1	1
TU286Y-500	+	925434	glyQS	tRNA Ligase	glyQ, glyS	GO593_04395, GO593_04400	IX87_12345, IX87_12350	2	2
TU286Y-529	-	968796	rplS	Ribosome	rplS	GO593_04595	IX87_12580	1	1
TU286Y-530	-	969745	trmD	Other	trmD	GO593_04600	IX87_12585	1	1
TU286Y-531	-	970610	rpsP	Ribosome	rpsP	GO593_04610	IX87_12595	1	2
TU286Y-535	-	979504	ispH	Other	ispH	GO593_04650	IX87_12635	1	1
TU286Y-536	+	979626	gmk	Other	gmk	GO593_04655	IX87_12640	1	1
TU286Y-547	-	1000298	aroB	Other	aroB	GO593_04740	IX87_12780	1	4
TU286Y-550	-	1016271	ftsLI-murEF-mraY	Cell Wall/PG	ftsL, ftsI, murE, murF, mraY	GO593_04810, GO593_04805, GO593_04800, GO593_04795, GO593_04790	IX87_12850, IX87_12845, IX87_12840, IX87_12835, IX87_12830	5	6
TU286Y-553	+	1019231	gltX	tRNA Ligase	gltX	GO593_04830	IX87_12870	1	3
TU286Y-599	-	1105674	ssb	Other	ssb	GO593_05260	IX87_13440	1	1
TU286Y-614	-	1138461	kdtA	LOS	kdtA	GO593_05390	IX87_13580	1	2
TU286Y-616	-	1141314	prfB	Other	prfB	GO593_05405	IX87_13595	1	1
TU286Y-617	-	1146224	glmM-pdxH	Other	glmM, pdxH	GO593_05425, GO593_05420	IX87_13615, IX87_13610	2	3
TU286Y-618	-	1147840	guaB	Other	guaB	GO593_05430	IX87_13620	1	1
TU286Y-625	-	1160111	lpxC	LOS	lpxC	GO593_05480	IX87_13680	1	1
TU286Y-626	-	1162824	ftsAZ	Cell Wall/PG	ftsA, ftsZ	GO593_05490, GO593_05485	IX87_13690, IX87_13685	2	2
TU286Y-627	-	1167263	murGC-ddlB-ftsQ	Cell Wall/PG	murG, murC, ddlB, ftsQ	GO593_05510, GO593_05505, GO593_05500, GO593_05495	IX87_13710, IX87_13705, IX87_13700, IX87_13695	4	4
TU286Y-642	-	1190721	parE	Other	parE	GO593_05625	IX87_13845	1	2
TU286Y-652	-	1211961	psd	Other	psd	GO593_05715	IX87_13955	1	2
TU286Y-659	+	1219894	GO593_05760	Cell Wall/PG	GO593_05760	GO593_05760	IX87_13990	1	1
TU286Y-660	+	1222574	ribH-thiL	Other	ribH, thiL	GO593_05770, GO593_05780	IX87_14000, IX87_14010	2	4
TU286Y-661	+	1224940	glmUS	Other	glmU, glmS	GO593_05790, GO593_05795	IX87_14020, IX87_14025	2	3
TU286Y-674	+	1255113	dapA	Other	dapA	GO593_05915	IX87_14145	1	3
TU286Y-699	+	1291378	fmt	Other	fmt	GO593_06095	IX87_14320	1	2
TU286Y-2422	-	1305000	tyrS	tRNA Ligase	tyrS	GO593_06155	IX87_14380	1	1
TU286Y-708	-	1307553	erpA	Other	erpA	GO593_06170	IX87_14395	1	1
TU286Y-714	-	1317271	gyrB	Other	gyrB	GO593_06205	IX87_14430	1	2
TU286Y-715	-	1319569	dnaN	Other	dnaN	GO593_06215	IX87_14440	1	2
TU286Y-716	-	1321064	dnaA	Other	dnaA	GO593_06220	IX87_14445	1	1
TU286Y-717	+	1321898	rnpA-yidC	Other	rnpA, yidC	GO593_06230, GO593_06240	IX87_14455, IX87_14465	2	4
TU286Y-734	-	1347585	dnaK	Other	dnaK	GO593_06350	IX87_14595	1	1
TU286Y-747	-	1364193	ileS-lspA	tRNA Ligase+Other	ileS, lspA	GO593_06435, GO593_06430	IX87_14685, IX87_14680	2	3
TU286Y-748	-	1365256	ribF	Other	ribF	GO593_06440	IX87_14690	1	1
TU286Y-756	-	1375702	GO593_06495	Other	GO593_06495	GO593_06495	IX87_14745	1	1
TU286Y-758	-	1378197	ubiG	Other	ubiG	GO593_06510	IX87_14760	1	2
TU286Y-794	+	1424614	murJ	Cell Wall/PG	murJ	GO593_06815	IX87_14820	1	1
TU286Y-797	+	1435928	wzx	Other	wzx	GO593_06865	IX87_14860	1	6
TU286Y-2411	+	1469693	fabB1	Other	fabB1	GO593_07015	IX87_01850	1	1
TU286Y-834	+	1526808	guaA	Other	guaA	GO593_07255	IX87_15245	1	1
TU286Y-840	-	1533305	GO593_07290	Cell Wall/PG	GO593_07290	GO593_07290	IX87_15280	1	1
TU286Y-841	-	1535249	argS	tRNA Ligase	argS	GO593_07295	IX87_15285	1	1
TU286Y-846	+	1542906	atpBEFHAGD	Ox Phos	atpB, atpE, atpF, atpH, atpA, atpG, atpD	GO593_07340, GO593_07345, GO593_07350, GO593_07355, GO593_07360, GO593_07365, GO593_07370	IX87_15330, IX87_15335, IX87_15340, IX87_15345, IX87_15350, IX87_15355, IX87_15360	7	8
TU286Y-852	-	1555819	tsaC	Other	tsaC	GO593_07410	IX87_15400	1	1
TU286Y-854	+	1558297	def	Other	def	GO593_07425	IX87_15415	1	2
TU286Y-878	+	1588415	parC	Other	parC	GO593_07570	IX87_15570	1	1
TU286Y-881	+	1593666	ppa	Other	ppa	GO593_07590	IX87_15590	1	1
TU286Y-887	+	1605111	ribDE	Other	ribD, ribE	GO593_07645, GO593_07655	IX87_15655, IX87_15665	2	4
TU286Y-889	-	1609234	GO593_07665	Other	GO593_07665	GO593_07665	IX87_15675	1	3
TU286Y-890	+	1611264	lptFG	Other	lptF, lptG	GO593_07680, GO593_07685	IX87_15690, IX87_15695	2	2
TU286Y-891	+	1613560	gpmI	Other	gpmI	GO593_07690	IX87_15700	1	2
TU286Y-898	+	1628651	murD-ftsW	Cell Wall/PG	murD, ftsW	GO593_07755, GO593_07760	IX87_15780, IX87_15785	2	2
TU286Y-909	+	1645578	hemCD	Other	hemC, hemD	GO593_07835, GO593_07840	IX87_15860, IX87_15865	2	3
TU286Y-919	+	1659611	secE-nusG	Other	secE, nusG	GO593_07925, GO593_07930	IX87_15955, IX87_15960	2	2
TU286Y-920	+	1660701	rplKAJ	Ribosome	rplK, rplA, rplJ	GO593_07935, GO593_07940, GO593_07945	IX87_15965, IX87_15970, IX87_15975	3	4
TU286Y-921	+	1663374	rpoBC	Other	rpoB, rpoC	GO593_07955, GO593_07960	IX87_15985, IX87_15990	2	2
TU286Y-938	+	1694676	pgsA	Other	pgsA	GO593_08075	IX87_16120	1	1
TU286Y-946	-	1708719	coaE	Other	coaE	GO593_08145	IX87_16190	1	3
TU286Y-947	+	1712839	tpiA	Other	tpiA	GO593_08165	IX87_16210	1	2
TU286Y-949	+	1715013	nusA-infB	Other	nusA, infB	GO593_08190, GO593_08195	IX87_16245, IX87_16250	2	4
TU286Y-950	-	1725910	phaAB-mnhC1-phaDE-mrpF	Other	phaAB, mnhC1, phaD, phaE, mrpF	GO593_08230, GO593_08225, GO593_08220, GO593_08215, GO593_08210	IX87_16285, IX87_16280, IX87_16275, IX87_16270, IX87_16265	5	6
TU286Y-953	-	1734766	ubiE	Other	ubiE	GO593_08265	IX87_16320	1	3
TU286Y-957	+	1749373	rpsO	Ribosome	rpsO	GO593_08305	IX87_16360	1	1
TU286Y-958	+	1749894	pnp	Other	pnp	GO593_08310	IX87_16365	1	1
TU286Y-964	-	1760915	priA	Other	priA	GO593_08345	IX87_16400	1	1
TU286Y-968	-	1765531	lnt	Other	lnt	GO593_08370	IX87_16425	1	2
TU286Y-2383	+	1766551	tusA	Other	tusA	GO593_08380	IX87_16435	1	1
TU286Y-2382	-	1768617	etfD	Other	etfD	GO593_08385	IX87_16440	1	1
TU286Y-972	+	1771528	hemH	Other	hemH	GO593_08405	IX87_16460	1	2
TU286Y-2371	-	1814260	infA	Other	infA	GO593_08615	IX87_16675	1	1
TU286Y-1001	-	1821346	asd	Other	asd	GO593_08645	IX87_16705	1	1
TU286Y-1009	+	1832240	topA	Other	topA	GO593_08700	IX87_16760	1	2
TU286Y-1017	-	1842483	rpmB	Ribosome	rpmB	GO593_08750	IX87_16810	1	2
TU286Y-1020	+	1844978	purU	Other	purU	GO593_08765	IX87_16855	1	1
TU286Y-1021	+	1846272	tonB	Other	tonB	GO593_08770	IX87_16860	1	1
TU286Y-1022	+	1847033	exbB1D4	Other	exbB1, exbD4	GO593_08775, GO593_08780	IX87_16865, IX87_16870	2	2
TU286Y-1024	-	1851207	thyA	Other	thyA	GO593_08800	IX87_16890	1	3
TU286Y-1026	-	1852954	lgt	Other	lgt	GO593_08815	IX87_16905	1	1
TU286Y-1044	+	1879851	clpX	Other	clpX	GO593_08945	IX87_16990	1	2
TU286Y-1056	+	1905063	ndk	Other	ndk	GO593_09040	IX87_17090	1	1
TU286Y-1058	+	1908469	ispG-hisS	tRNA Ligase+Other	ispG, hisS	GO593_09060, GO593_09065	IX87_17110, IX87_17115	2	6
TU286Y-1059	+	1912933	der	Other	der	GO593_09080	IX87_17130	1	1
TU286Y-1060	+	1914460	acpT	Other	acpT	GO593_09085	IX87_17135	1	1
TU286Y-1063	+	1917637	orn	Other	orn	GO593_09110	IX87_17160	1	1
TU286Y-1065	+	1919197	fabI	Other	fabI	GO593_09120	IX87_17170	1	1
TU286Y-1067	-	1929133	leuS-holA	tRNA Ligase+Other	leuS, holA	GO593_09150, GO593_09140	IX87_17200, IX87_17190	2	3
TU286Y-1090	+	1973180	folK	Other	folK	GO593_09350	IX87_17415	1	2
TU286Y-1091	+	1974521	panC	Other	panC	GO593_09360	IX87_17425	1	5
TU286Y-1092	+	1979149	thrS-infC	tRNA Ligase+Other	thrS, infC	GO593_09385, GO593_09390	IX87_17450, IX87_17455	2	2
TU286Y-1095	+	1984474	rpmI-rplT	Ribosome	rpmI, rplT	GO593_09410, GO593_09415	IX87_17475, IX87_17480	2	2
TU286Y-1098	+	1987415	pheST	tRNA Ligase	pheS, pheT	GO593_09435, GO593_09440	IX87_17505, IX87_17510	2	3
TU286Y-1099	-	1993203	rho	Other	rho	GO593_09460	IX87_17525	1	1
TU286Y-1101	+	1995669	accA-tilS	Other	accA, tilS	GO593_09475, GO593_09480	IX87_17540, IX87_17545	2	3
TU286Y-2355	-	2002062	polA	Other	polA	GO593_09495	IX87_17560	1	1
TU286Y-1114	+	2021874	murA	Cell Wall/PG	murA	GO593_09595	IX87_17660	1	5
TU286Y-1119	+	2038251	tsaB	Other	tsaB	GO593_09665	IX87_17730	1	2
TU286Y-1121	+	2042584	rpe	Other	rpe	GO593_09690	IX87_17755	1	1
TU286Y-1146	-	2086198	nrdB	Other	nrdB	GO593_09905	IX87_18005	1	1
TU286Y-1147	-	2089360	nrdA	Other	nrdA	GO593_09915	IX87_18015	1	2
TU286Y-1151	+	2094607	nuoABDEFGHIJKLMN	Ox Phos	nuoA, nuoB, nuoD, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN	GO593_09945, GO593_09950, GO593_09955, GO593_09960, GO593_09965, GO593_09970, GO593_09975, GO593_09980, GO593_09985, GO593_09990, GO593_09995, GO593_10000, GO593_10005	IX87_18075, IX87_18080, IX87_18085, IX87_18090, IX87_18095, IX87_18100, IX87_18105, IX87_18110, IX87_18115, IX87_18120, IX87_18125, IX87_18130, IX87_18135	13	13
TU286Y-2340	+	2111793	fpr1	Other	fpr1	GO593_10025	IX87_18155	1	1
TU286Y-2336	+	2140478	ffh	Other	ffh	GO593_10155	IX87_18285	1	1
TU286Y-1172	-	2143439	birA-coaX	Other	birA, coaX	GO593_10165, GO593_10160	IX87_18295, IX87_18290	2	2
TU286Y-1174	+	2148679	zipA	Cell Wall/PG	zipA	GO593_10185	IX87_18325	1	3
TU286Y-1175	+	2149811	ligA	Other	ligA	GO593_10190	IX87_18330	1	1
TU286Y-1185	+	2165510	yceD	Other	yceD	GO593_10265	IX87_18405	1	1
TU286Y-1186	+	2166145	rpmF	Ribosome	rpmF	GO593_10270	IX87_18410	1	1
TU286Y-1187	+	2166483	fabDG	Other	fabD, fabG	GO593_10275, GO593_10280	IX87_18415, IX87_18420	2	2
TU286Y-1188	+	2168285	acpP	Other	acpP	GO593_10285	IX87_18425	1	1
TU286Y-2335	-	2169999	thiD	Other	thiD	GO593_10295	IX87_18435	1	1
TU286Y-1192	-	2175721	rplY-pth	Ribosome+Other	rplY, pth	GO593_10330, GO593_10325	IX87_18470, IX87_18465	2	2
TU286Y-1193	-	2178675	lolB-ispE-prs	Other	lolB, ispE, prs	GO593_10365, GO593_10360, GO593_10335	IX87_18505, IX87_18500, IX87_18475	3	8
TU286Y-2332	+	2180477	hemA	Other	hemA	GO593_10375	IX87_18515	1	1
TU286Y-1194	-	2183623	dnaG	Other	dnaG	GO593_10380	IX87_18520	1	1
TU286Y-1198	+	2188236	coaD-fdx1	Other	coaD, fdx1	GO593_10410, GO593_10415	IX87_01935, IX87_01930	2	3
TU286Y-1206	-	2202360	nadE	Other	nadE	GO593_10480	IX87_01870	1	2
TU286Y-1209	-	2206127	fabB2-hemJ	Other	fabB2, hemJ	GO593_10500, GO593_10495	IX87_01850, IX87_01855	2	2
TU286Y-1211	+	2207949	rpsLG	Ribosome	rpsL, rpsG	GO593_10510, GO593_10515	IX87_01840, IX87_01835	2	2
TU286Y-1212	+	2209132	fusA	Other	fusA	GO593_10520	IX87_01830	1	1
TU286Y-1219	+	2218263	ftsK	Other	ftsK	GO593_10560	IX87_01775	1	1
TU286Y-1222	-	2224332	minCE	Other	minC, minE	GO593_10585, GO593_10575	IX87_01750, IX87_01760	2	3
TU286Y-1225	+	2227561	rep-dut	Other	rep, dut	GO593_10605, GO593_10610	IX87_01730, IX87_01725	2	2
TU286Y-1230	+	2235340	GO593_10640	Other	GO593_10640	GO593_10640	IX87_01695	1	2
TU286Y-2328	+	2237295	fur	Other	fur	GO593_10655	IX87_01680	1	1
TU286Y-1235	-	2250941	hemB	Other	hemB	GO593_10710	IX87_01620	1	2
TU286Y-2309	+	2378517	mtcA2	Other	mtcA2	GO593_11270	IX87_00610	1	1
TU286Y-1300	+	2392644	lysS	tRNA Ligase	lysS	GO593_11345	IX87_00530	1	1
TU286Y-1313	+	2418493	adk	Other	adk	GO593_11470	IX87_00385	1	2
TU286Y-1322	+	2437758	GO593_11535	Other	GO593_11535	GO593_11535	unknown	1	1
TU286Y-1327	-	2446769	GO593_11615	Other	GO593_11615	GO593_11615	IX87_00220	1	2
TU286Y-1361	-	2492185	smc2	Other	smc2	GO593_11915	IX87_05760	1	2
TU286Y-1363	+	2494302	ubiHI	Other	ubiH, ubiI	GO593_11930, GO593_11935	IX87_05745, IX87_05740	2	3
TU286Y-1376	-	2522034	pyrC	Other	pyrC	GO593_12050	IX87_05625	1	3
TU286Y-1408	-	2578047	GO593_12335	Other	GO593_12335	GO593_12335	IX87_05435	1	1
TU286Y-1426	+	2607785	marR1	Other	marR1	GO593_12465	IX87_05280	1	1
TU286Y-1445	-	2637871	lysC	Other	lysC	GO593_12600	IX87_05125	1	1
TU286Y-1466	-	2682925	alaS	tRNA Ligase	alaS	GO593_12895	IX87_04765	1	1
TU286Y-1467	+	2683194	epd	Other	epd	GO593_12900	IX87_04760	1	1
TU286Y-1469	+	2685726	purA	Other	purA	GO593_12910	IX87_04750	1	1
TU286Y-1494	-	2736642	cbdB1	Other	cbdB1	GO593_13095	IX87_04580	1	4
TU286Y-1503	+	2748309	asnC	Other	asnC	GO593_13165	IX87_04470	1	1
TU286Y-2265	-	2749366	GO593_13170	Other	GO593_13170	GO593_13170	IX87_04465	1	1
GO593_13175	+	2749601	GO593_13175	Other	GO593_13175	GO593_13175	IX87_04460	1	1
TU286Y-1509	+	2754642	GO593_13215	Other	GO593_13215	GO593_13215	IX87_04190	1	1
TU286Y-1510	+	2755393	GO593_13220	Other	GO593_13220	GO593_13220	IX87_04420	1	1
TU286Y-1521	-	2768200	ninH	Other	ninH	GO593_13310	IX87_06920	1	3
TU286Y-1525	-	2774580	ptrR	Other	ptrR	GO593_13345	IX87_07845	1	1
TU286Y-1536	-	2808920	cysS	tRNA Ligase	cysS	GO593_13525	IX87_04375	1	2
TU286Y-1537	+	2809133	kdsDC-lptCAB	LOS+Other	kdsD, kdsC, lptC, lptA, lptB	GO593_13530, GO593_13535, GO593_13540, GO593_13545, GO593_13550	IX87_04370, IX87_04365, IX87_04360, IX87_04355, IX87_04350	5	5
TU286Y-1547	-	2833040	fdxA	Other	fdxA	GO593_13635	IX87_04305	1	1
TU286Y-1682	-	3120255	dnaE	Other	dnaE	GO593_14925	IX87_02905	1	3
TU286Y-1703	+	3158566	GO593_15125	Other	GO593_15125	GO593_15125	unknown	1	1
TU286Y-1709	-	3177855	GO593_15205	Other	GO593_15205	GO593_15205	IX87_02640	1	1
TU286Y-2205	-	3193982	metK	Other	metK	GO593_15290	IX87_02540	1	1
TU286Y-2204	+	3194506	tkt	Other	tkt	GO593_15295	IX87_02535	1	1
TU286Y-1730	+	3219765	pgk-fba	Other	pgk, fba	GO593_15415, GO593_15425	IX87_02405, IX87_02395	2	3
TU286Y-1731	-	3226349	lptD	Other	lptD	GO593_15435	IX87_02385	1	2
TU286Y-1733	+	3229692	parB	Other	parB	GO593_15460	IX87_02360	1	3
TU286Y-1734	+	3231705	msbA-lpxK-kdsB-holB	LOS+Other	msbA, lpxK, kdsB, holB	GO593_15475, GO593_15480, GO593_15485, GO593_15490	IX87_02345, IX87_02340, IX87_02335, IX87_02330	4	13
TU286Y-1737	+	3244334	cmk	Other	cmk	GO593_15555	IX87_02265	1	2
TU286Y-1738	+	3245125	rpsA	Ribosome	rpsA	GO593_15560	IX87_02260	1	1
TU286Y-1739	+	3246955	ihfB	Other	ihfB	GO593_15565	IX87_02255	1	2
TU286Y-1759	-	3287567	hscBA-fdx2	Other	hscB, hscA, fdx2	GO593_15745, GO593_15740, GO593_15735	IX87_18970, IX87_18965, IX87_18960	3	3
TU286Y-1760	-	3287973	iscA	Other	iscA	GO593_15750	IX87_18975	1	2
TU286Y-1761	-	3290149	iscRS	Other	iscR, iscS	GO593_15765, GO593_15760	IX87_18990, IX87_18985	2	2
TU286Y-2194	+	3332216	lpxB	LOS	lpxB	GO593_15950	IX87_19185	1	1
TU286Y-1795	+	3352852	aroC	Other	aroC	GO593_16070	IX87_19365	1	3
TU286Y-1920	-	3624835	ispD	Other	ispD	GO593_17290	IX87_20925	1	2
TU286Y-1921	-	3627880	eno	Other	eno	GO593_17305	IX87_20940	1	1
TU286Y-1922	-	3630452	pyrG-kdsA	LOS+Other	pyrG, kdsA	GO593_17315, GO593_17310	IX87_20950, IX87_20945	2	2
TU286Y-1931	-	3647831	rpiA	Other	rpiA	GO593_17400	IX87_21035	1	2
TU286Y-1940	-	3666898	ftsY	Other	ftsY	GO593_17485	IX87_21135	1	1
TU286Y-1967	-	3708096	lpxD-fabZ-lpxA	LOS+Other	lpxD, fabZ, lpxA	GO593_17705, GO593_17700, GO593_17695	IX87_21630, IX87_21625, IX87_21620	3	4
TU286Y-1968	-	3711171	bamA	Other	bamA	GO593_17715	IX87_21640	1	1
