HOG	AB19606	AB030	genes	STRING_names	gene_orthologs	unique_name	citation
N0.HOG0000208	GO593_11870	IX87_22000					
N0.HOG0000208	GO593_11870	IX87_05845					
N0.HOG0000208	GO593_11870	IX87_04810					
N0.HOG0000208	GO593_00460	IX87_08165					
N0.HOG0000208	GO593_00460	IX87_22000					
N0.HOG0000208	GO593_00460	IX87_05845					
N0.HOG0000208	GO593_00460	IX87_04810					
N0.HOG0000209	GO593_00465	IX87_04815					
N0.HOG0000209	GO593_00465	IX87_08170					
N0.HOG0000209	GO593_00465	IX87_22005					
N0.HOG0000209	GO593_00465	IX87_05850					
N0.HOG0000209	GO593_11865	IX87_04815					
N0.HOG0000209	GO593_11865	IX87_08170					
N0.HOG0000209	GO593_11865	IX87_22005					
N0.HOG0000209	GO593_11865	IX87_05850					
N0.HOG0000210	GO593_00470	IX87_04820					
N0.HOG0000210	GO593_00470	IX87_05855					
N0.HOG0000210	GO593_00470	IX87_22010					
N0.HOG0000210	GO593_00470	IX87_08175					
N0.HOG0000210	GO593_11860	IX87_04820					
N0.HOG0000210	GO593_11860	IX87_05855					
N0.HOG0000210	GO593_11860	IX87_22010					
N0.HOG0000210	GO593_11860	IX87_08175					
N0.HOG0000211	GO593_00475	IX87_08180					
N0.HOG0000211	GO593_00475	IX87_05860					
N0.HOG0000211	GO593_00475	IX87_04825					
N0.HOG0000211	GO593_00475	IX87_22015					
N0.HOG0000211	GO593_11855	IX87_08180					
N0.HOG0000211	GO593_11855	IX87_05860					
N0.HOG0000211	GO593_11855	IX87_04825					
N0.HOG0000211	GO593_11855	IX87_22015					
N0.HOG0000212	GO593_00490	IX87_08185					
N0.HOG0000212	GO593_00490	IX87_05865					
N0.HOG0000212	GO593_00490	IX87_04830					
N0.HOG0000212	GO593_00490	IX87_22020					
N0.HOG0000212	GO593_11845	IX87_08185					
N0.HOG0000212	GO593_11845	IX87_05865					
N0.HOG0000212	GO593_11845	IX87_04830					
N0.HOG0000212	GO593_11845	IX87_22020					
N0.HOG0000213	GO593_00520	IX87_22040					
N0.HOG0000213	GO593_00520	IX87_05900					
N0.HOG0000213	GO593_00520	IX87_08240					
N0.HOG0000213	GO593_00520	IX87_04850					
N0.HOG0000213	GO593_11820	IX87_22040					
N0.HOG0000213	GO593_11820	IX87_05900					
N0.HOG0000213	GO593_11820	IX87_08240					
N0.HOG0000213	GO593_11820	IX87_04850					
N0.HOG0000214	GO593_11810	IX87_08250					
N0.HOG0000214	GO593_11810	IX87_22050					
N0.HOG0000214	GO593_11810	IX87_05910					
N0.HOG0000214	GO593_11810	IX87_04860					
N0.HOG0000214	GO593_11810	IX87_01985					
N0.HOG0000214	GO593_00530	IX87_08250					
N0.HOG0000214	GO593_00530	IX87_22050					
N0.HOG0000214	GO593_00530	IX87_05910					
N0.HOG0000214	GO593_00530	IX87_04860					
N0.HOG0000214	GO593_00530	IX87_01985					
N0.HOG0000215	GO593_00570	IX87_22080					
N0.HOG0000215	GO593_00570	IX87_05940					
N0.HOG0000215	GO593_00570	IX87_00035					
N0.HOG0000215	GO593_00570	IX87_08280					
N0.HOG0000215	GO593_00570	IX87_04885					
N0.HOG0000215	GO593_11765	IX87_22080					
N0.HOG0000215	GO593_11765	IX87_05940					
N0.HOG0000215	GO593_11765	IX87_00035					
